id,level,grammar_point,connection,meaning,examples
230,N2,～～～か～～ないかのうちに　刚要~~~就~~~,,,"[{""jp"": ""ドアをノックするかしないかのうちに、内側からドアが開かれた"", ""cn"": ""刚象敲门，就有人从里边把门打开了""}]"
231,N2,連用形＋かねる 难以 表示说话人对该事实的实现难以容忍或者认为有困难而加以拒绝,動詞,,"[{""jp"": ""こんな重大な事は私一人では決めかねます"", ""cn"": ""如此重大的事我一个人难以决定""}]"
232,N2,連用形＋かねない　不见得不，也有可能 一般用于不好的事情,動詞,（四.P124）,"[{""jp"": ""あんなにスピードを出しては事故も起こしかねない"", ""cn"": ""开得那么快，有可能会出事的""}]"
233,N2,終止形｜名詞､形容動詞である＋かのようだ。好像，宛如，简直就像,動詞,,"[{""jp"": ""水を飲むかのように、田中さんはコップを口に当てた"", ""cn"": ""田中把杯子放在嘴边好像要喝水似的""}, {""jp"": ""禅は日本文化の代表であるかのように考えられている"", ""cn"": ""禅就好像被看作日本文化的代表似的""}]"
234,N2,～～から～～にかけて 从~~~到~~~ 用于时间和空间上,,,"[{""jp"": ""6 月から 7 月にかけて雨がちの天気が続きます"", ""cn"": ""从 6 月到 7 月持续阴雨天气""}, {""jp"": ""今朝、東北地方から関東地方にかけて、弱い地震がありました"", ""cn"": ""今天早晨从东北地区到关东地区发生了微弱的地震""}]"
235,N2,からいうと｜からいえば｜からいって 从~~~来说，从~~~方面考虑,体言＋,,"[{""jp"": ""人口から言えば、東京は今千二百万人ぐらいでしょう"", ""cn"": ""从人口来说，东京恐怕有 1 千 2 百万人左右""}, {""jp"": ""我が家の収入からいって、学費のかかる私立大学に行くのは無理です"", ""cn"": ""从我们家地说如考虑，读不起昂贵的私立大学""}]"
236,N2,からして 从~~~来看；从~~~来说,体言＋,,"[{""jp"": ""実験の結果からして、成功までまだ遠いだろう"", ""cn"": ""从实验的结果来看离成功大概还很遥远""}, {""jp"": ""名前からしておもしろい"", ""cn"": ""从名字来说很有意思""}]"
237,N2,からすると｜からすれば 以~~~来看。根据,体言＋,,"[{""jp"": ""この値段からすれば、これは本物のダイヤモンドではないだろう"", ""cn"": ""以价格来看这部可能是真正的钻石""}, {""jp"": ""現場の状況からすると、犯人は窓から侵入したようだ"", ""cn"": ""从现场来看，罪犯象是破窗而入""}]"
238,N2,終止形＋からといって｜からとて｜からって 虽说~~~但~~~；尽管~~~也~~~，不能因为~~~就~~~,用言,,"[{""jp"": ""金持ちだからといって。"", ""cn"": """"}, {""jp"": ""幸せとはかぎらない"", ""cn"": ""虽说有钱，但未必幸福""}, {""jp"": ""給料が安いからと言って、いいかげんな仕事をしてはいけない"", ""cn"": ""不能因为工资低就工作马虎，不负责人|尽管工资低，但也不能工作马虎不负责任""}]"
239,N2,ある｜動詞終止形＋からには（からは） 既然~~~就~~~,名詞で,,"[{""jp"": ""学生であるからには、勉強をまず第一にしなければなりません"", ""cn"": ""既然是学生就必须把学习放在第一位""}, {""jp"": ""日本に来たからには、日本の習慣に従います"", ""cn"": ""既然来到了日本就要遵从日本的习惯""}, {""jp"": ""旅行に行くからには、何でも見ないと損だと思う"", ""cn"": ""既然要去旅行，若什么也不看，呢就不合算了""}]"
240,N2,から見ると｜から見れば｜から見て｜から見ても 从~~~方面来看,体言＋,,"[{""jp"": ""あの人の成績から見ると、大学受験はとても無理です"", ""cn"": ""从他的成绩来看报考大学事态勉强了""}, {""jp"": ""彼女は、女の私から見ても、女らしく魅力がある"", ""cn"": ""从我们女人的角度来看，我也觉得她很有女性魅力""}]"
241,N2,助動詞連体形＋かわりに　虽~~~但~~~；同时,動詞｜,,"[{""jp"": ""中村さんは遅刻もしないかわりに、仕事もあまりしない"", ""cn"": ""中村虽然不迟到但也不怎么干工作""}, {""jp"": ""「終身雇用制について、どう思いますか。"", ""cn"": """"}, {""jp"": ""」「いい所もあるかわりに、悪い所もあります。"", ""cn"": """"}]"
242,N2,かわりに　代替，代理,名詞の｜動詞連体形＋,表示补偿报答代替等，这个句型的前后两项必须是有同等价值的可以交换的。　（三 P280）,"[{""jp"": ""日本語を教えてもらうかわりに中国語を教えてあげましょう"", ""cn"": ""你教我日语我来教你汉语吧""}, {""jp"": ""山田先生の代わりに、内山先生がこのクラスの受け持ち先生になった"", ""cn"": ""内山先生代替上田先生担当这个班的班主任""}]"
243,N2,気味（ぎみ） 有点 有 些 （表示身心的感受感触等）,体言＋,,"[{""jp"": ""風邪気味で学校を休ませていただきます"", ""cn"": ""因我有点感冒，请允许我请假""}]"
244,N2,きり｜きりだ 从~~~以后就再也没|一直没~~~,,,"[{""jp"": ""朝出かけたきりまだ帰らない"", ""cn"": ""从早上出去以后就再也没回来""}, {""jp"": ""張先生とは去年お会いしたきりです"", ""cn"": ""去年根张老师见过一次面，之后就在也没见过""}]"
245,N2,連用形＋切る｜切れる ~~~完（表示完结完成），完全|很~~~（表示达到极限）,動詞,“ ” “ ” 切る は他動詞です。 切れる 自動詞です。,"[{""jp"": ""読みきる"", ""cn"": ""读完""}, {""jp"": ""疲れきっている"", ""cn"": ""疲乏至极""}, {""jp"": ""人民は政府を信頼しきっている"", ""cn"": ""人民完全信赖政府""}, {""jp"": ""本当に間違いだと言い切れますか（能断言真是错了吗？"", ""cn"": """"}]"
246,N2,活用語連体形＋くせに 明明~~~却~~~ 尽管~~~可是~~~。 くせに “ ” “ ” 比 のに 含有更强的责怪和蔑视语气。一般用于伙伴之间的会话，不用,名詞の｜,于郑重谈话和书面语。后句内容假如不需明言可以省略。　　（四 P353）,"[{""jp"": ""子供のくせに、大人のような口調で話している"", ""cn"": ""明明是个孩子却用大人的口吻说话""}, {""jp"": ""返事をすぐくれると約束したくせに、三ヶ月たってもくらない"", ""cn"": ""说好马上给答复的，可是三个月都过去了，还没有答复""}]"
247,N2,連体形＋くらい｜ぐらい｜くらいだ｜ぐらいだ 表示程度,用言,,"[{""jp"": ""この問題は子供でもできるくらい簡単です"", ""cn"": ""这个问题简单的连小孩子都会""}, {""jp"": ""周りがうるさくて、声が聞こえないぐらいだ"", ""cn"": ""周围吵的连说话声都听不清""}]"
248,N2,げ～～～ ~~~的样子，好像~~ 表示某种神情样子情形感觉。,体言｜形容詞語幹｜形容動詞語幹｜動詞連用形＋,,"[{""jp"": ""希望のものが手に入り、満足げに帰っていった"", ""cn"": ""的到了想要的东西，心满意足的回去了""}, {""jp"": ""彼女はとても仲の良い友達に死なれてから、いつも悲しげな顔をしている。"", ""cn"": """"}, {""jp"": ""用ありげに近づく"", ""cn"": ""像有事的样子走了进来""}]"
249,N2,こそ 接在需要强调地词下面加强其语义和语气。 “ ” “ ” 才是 ， 才能,,,"[{""jp"": ""苦しい時にこそ。"", ""cn"": """"}, {""jp"": ""其の人の実力が試しされます"", ""cn"": ""只有在艰苦的时候才能看出一个人的能力""}, {""jp"": ""太陽こそはあらゆる生命の源泉なのである"", ""cn"": ""太阳才是一切生命的真正源泉""}]"
250,N2,～～～ことか 别提有多~~~了。,,,"[{""jp"": ""先生のやさしい一言がどれほど嬉しかったことか"", ""cn"": ""老师得一句亲切关怀，曾令我多么高兴啊""}]"
251,N2,連体形＋ことから“因为”“从~~~来看 由此 ”“ ” 表示判断,用言,,"[{""jp"": ""だれも英語が分からないことから、少しは分かる私が通訳をすることになった"", ""cn"": ""因为谁多不会英语，所以就由多少懂一点的我来做翻译""}, {""jp"": ""たくさんの人が集まっていることから、何か事件が起こったと感じた。"", ""cn"": """"}, {""jp"": ""カモメが翼を動かさないで飛ぶことから、グライダーを考え出した。"", ""cn"": """"}]"
252,N2,連体形現在式＋ことだ 应该，最好,用言,,"[{""jp"": ""やはり自分でやることだ"", ""cn"": ""最好还是自己做""}, {""jp"": ""健康になりたいなら、毎日邉婴工毪长趣溃ㄒ肷硖褰】稻陀 Ω 脇要每天运动）。"", ""cn"": """"}]"
253,N2,～～～ことだから　因为~~~一定~~~,,,"[{""jp"": ""「田中さんが病気らしいよ」“ ” 山田好像病了"", ""cn"": """"}, {""jp"": ""「元気な彼のことだから、すぐ治るでしょう」 因“ 为他一向身体还好，所以很快就会痊愈吧”"", ""cn"": """"}]"
254,N2,連体形＋ことなく 不~~~,用言,,"[{""jp"": ""彼は朝早くから夜遅くまで、休むことなく活動しつづけた。"", ""cn"": """"}]"
255,N2,連体形＋ことに｜ことには　“令人~~~的是~~” 多接“ ” 驚く､ ､ ､ ､ 困る 不思議 残念 嬉しい 等的词,用言,,"[{""jp"": ""残念なことに、君は一緒に行けないのだ。"", ""cn"": """"}, {""jp"": ""嬉しいことに"", ""cn"": ""令人高兴的是""}, {""jp"": ""驚いたことに､彼は 10 歳で作曲を始めたのだという。"", ""cn"": """"}]"
256,N2,連体形＋ことになっている｜こととなっている “按规定” 表示客观规定的存续。,用言,,"[{""jp"": ""日本に来た留学生は、最初の三ヶ月はアルバイトはできないことになっている。"", ""cn"": """"}]"
257,N2,連体形＋ことはない 不必~~~,動詞,,"[{""jp"": ""今度のテストは簡単ですから、心配することはないよ"", ""cn"": ""这次测验很简单，不必担心""}]"
258,N2,際｜際に｜際は ~~~时。~~~之际,体言の｜動詞連体形＋,,"[{""jp"": ""お別れの際に申し上げたいことがあります"", ""cn"": ""在此非别之际，有话和你讲""}, {""jp"": ""これは田中先生が国へ帰る際に私にくれた中日大辞典だ。"", ""cn"": """"}]"
259,N2,～～～最中に｜最中だ “正在~~~的时候”“正在~~~中”,,,"[{""jp"": ""授業の最中にポケットベルが鳴って、皆びっくりした。"", ""cn"": """"}, {""jp"": ""雨が降っている最中に"", ""cn"": ""正在下雨的时候""}]"
260,N2,～～～さえ｜でさえ　副助詞です、体言､副詞､助詞､活用語連体形に付きます。 でさえ 可作 “ ” 为一个固定的提示性副词使用，相 于当 “ ” でも 但语气更重。,,,"[{""jp"": ""平仮名さえ書けない"", ""cn"": ""连平假名都不会写""}, {""jp"": ""温厚なあの人でさえ怒った"", ""cn"": ""就连温文尔雅的他也发怒了""}, {""jp"": ""自分の名前さえ書けない"", ""cn"": ""甚至连自己的名字都不会写""}]"
261,N2,さえあれば,体言｜形容詞連用形｜断定助動詞で＋,只要~~~就~~~,"[{""jp"": ""これさえあれば、ほかには何にも要りません"", ""cn"": ""只要有了这个，别的就什么也不需要了""}, {""jp"": ""品がよくさえあれば、どんどん売れる"", ""cn"": ""只要东西好，就能畅销""}, {""jp"": ""金属でさえあればいい"", ""cn"": ""只要使金属就行""}]"
262,N2,連用形＋さえすれば　只要~~~就~~~,動詞,,"[{""jp"": ""あの二人は会いさえすれば、きっとけんかだ"", ""cn"": ""那俩人，只要见面就吵架""}]"
263,N2,さえ＋用言仮定形ば 只要~~~就~~~,体言,,"[{""jp"": ""あなたさえ側にいてくれれば、私は満足です"", ""cn"": ""只要有你在我身边，我就知足了""}, {""jp"": ""天気さえよければ、旅行に行く"", ""cn"": ""只要天气好就去旅游""}, {""jp"": ""体が丈夫でさえあればよい"", ""cn"": ""只要身体健康就好""}]"
264,N2,未然形＋ざるを得ない｜ざるをえない 不得不~~~,動詞,,"[{""jp"": ""生活のためには、いやな仕事でも引き受けざるを得ない"", ""cn"": ""为了生活，即使是讨厌的工作也不能不干""}]"
265,N2,しかない 只有；只能；只好,名詞｜動詞終止形＋,,"[{""jp"": ""今日、百円しかないから、映画を見に行くことはできません。"", ""cn"": """"}, {""jp"": ""誰も助けてくれないから、もう一人で頑張るしかない"", ""cn"": ""没人帮我，我只能以个人奋斗""}, {""jp"": ""暇がないから、断るしかない"", ""cn"": ""因为没有时间所以只好拒绝了""}]"
266,N2,連用形＋次第（しだい） 一~~~就（立即）~~~,動詞,,"[{""jp"": ""向こうに着き次第、電話をかけます"", ""cn"": ""我一到那边就打电话""}]"
267,N2,次第だ｜次第で｜次第では 全凭，要看~~~而定,名詞｜動詞連用形＋,,"[{""jp"": ""世間に難事はなく、ただ心がけ次第だ"", ""cn"": ""世上无难事，只怕有心人""}, {""jp"": ""行くかどうかは、お天気次第です"", ""cn"": ""去不去要看天气情况而定""}, {""jp"": ""地獄（じごく）の沙汰（さた）も金次第だ"", ""cn"": ""有钱能使鬼推磨""}, {""jp"": ""今忙しいが、その仕事、条件次第では引き受けないこともない"", ""cn"": ""现在我很忙，但是只要条件合适，也并不是不能接受那份工作""}]"
268,N2,～～上｜上は｜上も 在~~~上,,,"[{""jp"": ""制度上不可能だ"", ""cn"": ""在制度上是不可能的|从规定来说是不可能的""}, {""jp"": ""「いじめ」が教育上の大問題になっているのは日本だけではないらしい。"", ""cn"": """"}, {""jp"": ""“"", ""cn"": ""欺负”成为教育上的一大问题，好像不只日本如此""}]"
269,N2,未然形＋ずにはいられない｜ないにはいられない 不 “ ”“ ” 能不 怎能不 表示动作的主体在心情上不能不~~~,動詞,,"[{""jp"": ""私はそれを聞くたびに、彼のことを思い出さずにはいられないのである。"", ""cn"": """"}]"
270,N2,せいだ｜せいで 因为，是因为（用于不好的结果）,体言の｜用言連体形＋,,"[{""jp"": ""お前のせいで、僕はひどい目にあったのよ"", ""cn"": ""都是因为你我才倒了大霉""}, {""jp"": ""私は薄着（うすぎ）をしているせいでしょうか少し寒気（さむけ）がしますね。"", ""cn"": """"}]"
271,N2,せいか 也许是因为~~~（的缘故）吧（用于不好的结果）,体言の｜用言連体形＋,,"[{""jp"": ""覚えが悪いせいか、なかなか思い出せない"", ""cn"": ""也许是因为记性不好吧，我怎么也想不起来了""}]"
272,N2,だけあって　不愧是,体言｜用言連体形＋,,"[{""jp"": ""イタリアで修業しただけあって、彼らの料理はなかなかうまい。"", ""cn"": """"}]"
273,N2,だけに 正因为~~~所以,体言｜用言連体形＋,,"[{""jp"": ""値段が高いだけに物もいいです"", ""cn"": ""正因为价格高，所以东西也好""}]"
274,N2,連体形＋だけの 足 “ 够的” “ ” ， 所有的 表示程度,動詞,,"[{""jp"": ""あるだけの金は全部使い果たした"", ""cn"": ""所有的钱都用完了""}, {""jp"": ""一年食べられるだけの食糧は貯えてある（たくわえてある）。"", ""cn"": """"}, {""jp"": ""できるだけ努力する"", ""cn"": ""尽量努力""}]"
275,N2,たとえ～～～体言｜用言連用形＋ても（でも） 即使~~~也~~~,,,"[{""jp"": ""たとえ親が反対しても彼女と結婚する"", ""cn"": ""即使是父母反对，我也要和她结婚""}]"
276,N2,～～～たところ～～～,,②“可是”“ ” 却 后项往往是与自己的意愿相反的事情,"[{""jp"": ""相当于“ ” たら 的部分用法。"", ""cn"": """"}, {""jp"": ""組長に相談したところ、彼は大賛成した"", ""cn"": ""我与组长商量了一下，结果他也非常赞成""}, {""jp"": ""わざわざ行ったところ、留守でした。"", ""cn"": """"}, {""jp"": ""帰ってきたところだ。"", ""cn"": """"}]"
277,N2,連体詞その｜動詞過去式た＋とたん（とたんに） “刚一~~~就” 表示就在那一瞬间发生了什么什么事情,,,"[{""jp"": ""バスを降りたとたん、転んで倒れた"", ""cn"": ""刚下公共汽车就跌到了""}, {""jp"": ""立ち上がったとたんに頭をぶつけた"", ""cn"": ""刚一站起来就碰了头""}]"
278,N2,たび（たびに）“每次~~都”,体言の｜動詞連体形＋,,"[{""jp"": ""この写真を見るたびに、なくなった友達のことを思い出す。"", ""cn"": """"}]"
279,N2,だらけ,名詞,“满，净，全”,"[{""jp"": ""家中（いえじゅう）ゴミだらけだ"", ""cn"": ""家中满是垃圾""}, {""jp"": ""間違いだらけの作文"", ""cn"": ""净是错误的作文|错误连篇的作文""}, {""jp"": ""埃（ほこり）だらけ"", ""cn"": ""净是灰尘""}, {""jp"": ""怪我をして血だらけになった"", ""cn"": ""受了伤，浑身是血""}]"
280,N2,ついでに,名詞の｜動詞終止形＋,“顺便”,"[{""jp"": ""散歩のついでに手紙を出してきた"", ""cn"": ""去散步顺便把信寄出去了""}, {""jp"": ""スーパーへ行くついでに、あの雑誌を買ってきてください。"", ""cn"": """"}]"
281,N2,～～っけ ①表示询问确认已经遗忘了的事情 ②表示回忆起某件事，特别用来表示怀念过去的某件事。（三 P262）,,,"[{""jp"": ""あの人は誰だっけ。"", ""cn"": """"}, {""jp"": ""ああ、いけない、今日の午後、会議があったっけ。"", ""cn"": """"}, {""jp"": ""すっかり忘れていた。"", ""cn"": """"}, {""jp"": ""学生時代、よくあの喫茶店で一緒に飲んだっけ。"", ""cn"": """"}]"
282,N2,連用形＋っこない　“决不会~~”“根本不会~~”,動詞,,"[{""jp"": ""そんなことは子供にできっこない。"", ""cn"": """"}]"
283,N2,連用形＋つつ,動詞,一“ 边~~一边”“一面~~一面 是文 ” 章用語。,"[{""jp"": ""歩きつつ新聞を読む"", ""cn"": ""一边走，一边看报纸""}]"
284,N2,連用形＋つつも｜つつ,動詞,虽然~~但是 是文章用語,"[{""jp"": ""体に悪いと知りつつも、タバコを吸う。"", ""cn"": """"}]"
285,N2,、助動詞連用形＋つつある “正在~~” 表示正在进行,動詞,,"[{""jp"": ""彼女の考え方は変わりつつある。"", ""cn"": """"}]"
286,N2,～～っぽい,,好“ ~~ ”“容易~~” 表示具有某种气质,"[{""jp"": ""部長は怒りっぽい性格だから、気をつけて話しなさい。"", ""cn"": """"}]"
287,N2,連用形＋て以来（ていらい） 自~~~以来,動詞,,"[{""jp"": ""入社して以来、一日休んだことがない。"", ""cn"": """"}]"
288,N2,～～てからでないと～～ない｜～～てからでなければ～～ない “没~~之前不~~” “如果不是~~~之后”,,,"[{""jp"": ""おいしいかどうかは食べてからでないと分からない。"", ""cn"": """"}, {""jp"": ""6 歳になってからでなければ、小学校に入学できません。"", ""cn"": """"}]"
289,N2,連用形＋てしょうがない “~~得不得了”“~~得没办法”,用言,,"[{""jp"": ""一人の生活は寂しくてしょうがない。"", ""cn"": """"}, {""jp"": ""うちのおふくろ、うるさくてしょうがない。"", ""cn"": """"}]"
290,N2,連体形｜形容動詞語幹＋てたまらない “~~~得不得了”“~~得受不了” 表示程度严重。,用言,,"[{""jp"": ""胃が痛くてたまらない。"", ""cn"": """"}, {""jp"": ""母の病気が心配でたまらない。"", ""cn"": """"}]"
291,N2,～～ということだ。,,,"[{""jp"": ""文章中常用「とのことだ」"", ""cn"": ""三 P126""}, {""jp"": ""②“就是说~~”“意思是~~”=という意味だ"", ""cn"": """"}, {""jp"": ""社長は今日はご出勤にはならないということです。"", ""cn"": """"}, {""jp"": ""石油の価格は近いうちにあがるとのことです。"", ""cn"": """"}, {""jp"": ""指輪を返したのは、つまり私と結婚しないということだ。"", ""cn"": """"}]"
292,N2,～～～というと｜といえば｜といったら～～ “ ”“ 提起 说起” 表示提起话题,,,"[{""jp"": ""外国語を習うには、どうすればいいかというと、まずよく外国語を話すことです．"", ""cn"": """"}, {""jp"": ""紅葉（もみじ）といえば日光（にっこう）。"", ""cn"": """"}]"
293,N2,～～～というものだ。 这才真正是~~~,,,"[{""jp"": ""やれやれ、これで助かったというものだ"", ""cn"": ""哎呀，可算得救了""}, {""jp"": ""試験に成功したことは栅摔幛扦郡ぴ挙恰ⅳ蓼盲郡  Δ 筏考嘴长ⅳ盲郡趣い Δ 长趣馈＃ㄊ匝槌晒 φ 馐翟谑强上驳氖拢媸敲挥邪着Γ "", ""cn"": """"}]"
294,N2,～～というものではない｜というものでもない 并不是 “ ~~”“也并不是~~”,,,"[{""jp"": ""仕事が大事だからといって、仕事さえしていればいいというものではない （虽说工作中要，但也并不是只做工作就行。"", ""cn"": """"}, {""jp"": ""親が頭がいいから、子供も必ず頭がいいというものではない"", ""cn"": ""并不是因为父母聪明，孩子就一定聪明""}]"
295,N2,～～～というより 与其说~~~,,,"[{""jp"": ""この料理は日本風というより、中華風なんじゃないの。"", ""cn"": """"}]"
296,N2,～～～といっても “虽然说~~~”“说是~~但~~”,,,"[{""jp"": ""日本語ができるといっても、小説が読めるほどではありません。"", ""cn"": """"}, {""jp"": ""昔と言っても、そう昔のことではないが、こんなことがあった。"", ""cn"": """"}]"
297,N2,とおり “正如~~”“按照~~~”,体言の｜動詞連体形＋,,"[{""jp"": ""昨日は天気予報のとおり、雨だった。"", ""cn"": """"}, {""jp"": ""代表団は予定どおり、東京に到着した。"", ""cn"": """"}]"
298,N2,連体形｜体言＋どころか　“别说~~就连~~~也~~”“不仅不~~~反而~~”,用言,,"[{""jp"": ""漢字どころか、平仮名も書けない"", ""cn"": ""别说汉子，就连平假名也不会写""}]"
299,N2,どころではない｜どころじゃない “岂止”“远非”“ ” 哪能 （三 P374）,体言｜用言連体形＋,,"[{""jp"": ""海は冷たかったどころじゃありません。"", ""cn"": """"}, {""jp"": ""まるで氷のようでした。"", ""cn"": """"}, {""jp"": ""そんなに忙しいのに、何を言っているのですか。"", ""cn"": """"}, {""jp"": ""今はそれどころじゃないよ。"", ""cn"": """"}, {""jp"": ""「給料が安いんだってね。"", ""cn"": """"}, {""jp"": ""月、十二万円ぐらい？"", ""cn"": """"}, {""jp"": ""」"", ""cn"": ""说工资低，一个月有 12 万日元左右吧""}, {""jp"": ""「十二万どころじゃないよ。"", ""cn"": """"}]"
300,N2,动词进行时+ところに “正当~~” 强调的是时间点,,,"[{""jp"": ""私が先生と相談しているところに、友達が尋ねてきました。"", ""cn"": """"}]"
301,N2,連体形｜動詞ている＋ところへ　正当~~时，强调的是“ ” ちょうどその時,動詞,,"[{""jp"": ""風呂に入っているところへ、電話がかかってきた。"", ""cn"": """"}, {""jp"": ""出かけようとしているところへお客さんが来ました。"", ""cn"": """"}, {""jp"": ""店へ入ったところへ、彼女がやって来た。"", ""cn"": """"}]"
302,N2,～～～ところを,,,"[{""jp"": ""① 用言連体形＋ところを 本 “ 应~~可是~~”表示转折"", ""cn"": """"}, {""jp"": ""② 動詞連体形｜動詞連用形ているところを “正在~~~的时候~~~而” 强调的是在这个过程范围中"", ""cn"": """"}, {""jp"": ""お忙しいところをお見送りいただき、どうもありがとうございます。"", ""cn"": """"}, {""jp"": ""勉強しているところを写真に撮られた。"", ""cn"": """"}, {""jp"": ""二人で行けたすむところをなんで無愛想なおれへ口へかけたのだろう。"", ""cn"": """"}]"
303,N2,～～～としたら｜とすれば 假 “ 如~~”“假设~~”,,,"[{""jp"": ""もし、ここに 1 億円あるとしたら、どうする。"", ""cn"": """"}, {""jp"": ""一時間に 5 千ダース生産できるとすれば、8 時間でいくら生産できるか。"", ""cn"": """"}]"
304,N2,終止形＋としても　即使~~~也~~,用言,,"[{""jp"": ""買うとしても、一番安いのしか買えない。"", ""cn"": """"}]"
305,N2,として｜としては 作 “ 为~~~”,名詞,,"[{""jp"": ""私は留学生として日本にやってきました。"", ""cn"": """"}, {""jp"": ""私個人としては、そのことに反対だ。"", ""cn"": """"}]"
306,N2,とともに,体言｜用言終止形＋,和“ ~~~一起”“随着~~~”,"[{""jp"": ""父と共に帰りました。"", ""cn"": """"}, {""jp"": ""年をとると共に、体が弱ってきたようだ。"", ""cn"": """"}]"
307,N2,未然形＋ないことには　“如果不~~~”,動詞,,"[{""jp"": ""努力しないことには、成功するはずがない。"", ""cn"": """"}]"
308,N2,未然形＋ないことはない｜ないこともない 也并不是不 “ ~~~”“并非不~~~”,用言,,"[{""jp"": ""映画が見たくないこともないけど、忙しくて、時間がないんだ。"", ""cn"": """"}]"
309,N2,未然形＋ないではいられない,用言,不“ 能不~~”“不由得~~” 表示动作的主体在心情上不能不|不由得~~~,"[{""jp"": ""それを聞いたら、心配しないではいられなくなりますよ。"", ""cn"": """"}, {""jp"": ""悲しさのあまり彼女は泣かないではいられなかった。"", ""cn"": """"}]"
310,N2,､助動詞連用形｜形容詞終止形｜名詞､形容動詞語幹､副詞＋ながら “虽然~~却~~” 表示转折,動詞,,"[{""jp"": ""中国人でありながら、中国の歴史を全く知らない。"", ""cn"": """"}, {""jp"": ""注意していながら、間違えてまいりました。"", ""cn"": """"}, {""jp"": ""彼の助言は少ないながら、的確だ。"", ""cn"": """"}, {""jp"": ""このカメラが小型ながら、よく写る。"", ""cn"": """"}]"
311,N2,～～～なんか なんか 是 など的 “ ” “ 口语形式,,,"[{""jp"": ""テレビなんか見たくありません。"", ""cn"": """"}, {""jp"": ""あの店では、薬のほかにジュースなんか売っている。"", ""cn"": """"}]"
312,N2,～～～なんて “~~~什么的”“~~~之类” （表示出意外轻视）,,,"[{""jp"": ""勉強なんていやだ。"", ""cn"": """"}, {""jp"": ""私は田中なんて学生は知りません。"", ""cn"": """"}, {""jp"": ""よく考えもしないで分からないなんていうのはいけないことだ。"", ""cn"": """"}]"
313,N2,にあたって（にあたり） 当“ ~~~之时”,体言｜動詞連体形＋,,"[{""jp"": ""開会にあたり、一言ご挨拶申し上げます。"", ""cn"": """"}, {""jp"": ""大学を卒業するに当たって、お世話になった先生方に記念品を贈ることにした。"", ""cn"": """"}]"
314,N2,において｜においては｜においても｜における 在 “ ~~~” 表示动作作用进行的场所场合范围。是书面语，在口语中一般用“ ” で （四 P103）,体言＋,,"[{""jp"": ""1964 年のオリンピックは東京において行われた。"", ""cn"": """"}, {""jp"": ""それは日本社会においては、建前っていうもんだよ。"", ""cn"": """"}, {""jp"": ""このテープレコーダは価格も安いし、性能の点においても申し分がない。"", ""cn"": """"}, {""jp"": ""日本におけるマスコミは非常にすばらしいものだ（在日本大众传媒是非常发达的。"", ""cn"": """"}]"
315,N2,応じて “按照~~”“根据~~~”“随着~~~”,体言に,,"[{""jp"": ""お客の注文に応じて作っている。"", ""cn"": """"}, {""jp"": ""収入に応じて支出を考えなければならない。"", ""cn"": """"}, {""jp"": ""科学の発達に応じて多くの新しい語が生まれました。"", ""cn"": """"}]"
316,N2,～～～にかかわらず “不论|不管~~~” 表示不受某种情况的约束。此时一般接在“一对反义词”|“体言のいかん 的后面。（四 ” P238）,,,"[{""jp"": ""昼夜にかかわらず仕事を続けている。"", ""cn"": """"}, {""jp"": ""好む好まないにかかわらず、やらなければならない。"", ""cn"": """"}, {""jp"": ""難しいやさしいにかかわらず、一度やってみるつもりだ。"", ""cn"": """"}, {""jp"": ""天候のいかんにかかわらず、邉踊幛蛐肖 Α＃ㄎ蘼厶焯搴没担硕岫颊粘＝校‐"", ""cn"": """"}]"
317,N2,～～～にもかかわらず“尽管~~~但是~~~”“虽然~~~但是~~” 简体句（体言或形容動詞谓语句时用である）｜体言｜形容動詞語幹｜活用語連体,,,"[{""jp"": ""形＋にもかかわらず"", ""cn"": ""四 P238""}, {""jp"": ""彼はまだ三十五歳の若さだ、それにもかかわらず、大学教授になった。"", ""cn"": """"}, {""jp"": ""周りが静か（なの）にもかかわらず、いつもと違う場所なので、ちっとも眠れない。"", ""cn"": """"}, {""jp"": ""ひどい災害にもかかわらず豊作をかちとった。"", ""cn"": """"}]"
318,N2,～～～にかかわる,,“与~~~有关”“关系到~~~”“涉及到~~~”（四 P169）,"[{""jp"": ""それは私の名誉にかかわる問題ですから、気にしないわけにはいかないでしょう。"", ""cn"": """"}, {""jp"": ""交通だの住宅だの、国民の生活にかかわる問題はさきに解決しなければならない。"", ""cn"": """"}, {""jp"": ""今度の取引は工場が生きていけるかどうかにかかわるのだから、、努力するよりほかない。"", ""cn"": """"}]"
319,N2,～～～にかかわりなく｜にはかかわりなく “与~~~无关” “ ； 不论~~都”,,,"[{""jp"": ""会社での地位にかかわりなく~~~"", ""cn"": ""与在公司里的地位无关~~~""}, {""jp"": ""国家はその大小にかかわりなく、すべて平等であるべきだ。"", ""cn"": """"}]"
320,N2,に限って|に限り（にかぎって｜にかぎり） 只有 “ ~~”“偏偏~~”,体言＋,,"[{""jp"": ""その日に限って帰りが早かった。"", ""cn"": """"}, {""jp"": ""今日に限り、黙りにくっている。"", ""cn"": """"}]"
321,N2,に限らず（にかぎらず） 不“ 仅|不但~~而且~~”“不论~~都~~~” 表示不仅 A 如此，B 也如此。都如此。,体言＋,,"[{""jp"": ""男性に限らず、女性もその歌手が好きだ。"", ""cn"": """"}, {""jp"": ""何事に限らず、公明正大でなければならない。"", ""cn"": """"}]"
