level,word,pitch_accent,pos,reading,meaning
 1-N4+N5,本,①,名,ほん,书本，书籍
 1-N4+N5,本屋,①,名,ほんや,书店
 1-N4+N5,本棚,①,名,ほんだな,书柜，书架
 1-N4+N5,本当,⓪,名・ナ形,ほんとう,真实，事实，真的
 1-N4+N5,磨く,⓪,他動1,みがく,磨，刷；磨练
 1-N4+N5,妹,④,名,いもうと,（自己的）妹妹
 2-N3::1-高频,毎回,⓪,副・名,まいかい,每次，每回
 1-N4+N5,毎月,⓪,副・名,まいつき,每个月
 1-N4+N5,毎週,⓪,副・名,まいしゅう,每周
 1-N4+N5,毎朝,①⓪,副・名,まいあさ,每天早上
 1-N4+N5,毎日,①⓪,副・名,まいにち,每天
 1-N4+N5,毎年,⓪,副・名,まいとし,每年
 1-N4+N5,毎晩,①⓪,副・名,まいばん,每晚
 1-N4+N5,万,①,名,まん,（数量）万
 1-N4+N5,漫画,⓪,名,まんが,漫画，连环画
 1-N4+N5,みかん,①,名,みかん,橘子，柑橘
 1-N4+N5,夢,②,名,ゆめ,梦；理想；幻想；虚幻
 1-N4+N5,娘,③,名,むすめ,女儿；未婚年轻女性
 1-N4+N5,名前,⓪,名,なまえ,名字
 1-N4+N5,明るい,⓪③,イ形,あかるい,明亮的；快活的
 1-N4+N5,明日,③⓪,名,あした,明天
 1-N4+N5,面白い,④,イ形,おもしろい,有趣的；快乐的，愉快的
 3-N2::2-中低频,麺,①,名,めん,面条
 1-N4+N5,木,①,名,き,树木；木材
 1-N4+N5,木曜日,③,名,もくようび,周四
 1-N4+N5,目,①,名,め,眼睛
 1-N4+N5,問題,⓪,名,もんだい,问题，题目；麻烦事
 1-N4+N5,夜,①,名,よる,晚上，夜间
 1-N4+N5,野球,⓪,名,やきゅう,棒球
 1-N4+N5,野菜,⓪,名,やさい,蔬菜
 1-N4+N5,薬,⓪,名,くすり,药，药品
 1-N4+N5,友達,⓪,名,ともだち,朋友
 1-N4+N5,有名,⓪,ナ形,ゆうめい,有名的
 1-N4+N5,遊ぶ,⓪,自動1,あそぶ,玩耍
 1-N4+N5,郵便局,③,名,ゆうびんきょく,邮局
 1-N4+N5,夕方,⓪,名,ゆうがた,傍晚
 3-N2::1-高频,幼稚園,③,名,ようちえん,幼儿园
 1-N4+N5,洋服,⓪,名,ようふく,（西装、裤子、连衣裙、裙子等）衣服
 1-N4+N5,葉書,⓪,名,はがき,明信片
 1-N4+N5,欲しい,②,イ形・補形,ほしい,想要；（「…てほしい」）想要……做
 2-N3::1-高频,浴衣,⓪,名,ゆかた,夏季简便和服，浴衣
 1-N4+N5,来る,①,自動3・補動,くる,来
 1-N4+N5,来月,①,名,らいげつ,下个月
 1-N4+N5,来週,⓪,名,らいしゅう,下周
 1-N4+N5,来年,⓪,名,らいねん,明年
 1-N4+N5,頼む,②,他動1,たのむ,请求，托付；依靠
 1-N4+N5,卵,②⓪,名,たまご,蛋，鸡蛋；未成熟者
 1-N4+N5,履く,⓪,他動1,はく,穿（鞋、袜）
 1-N4+N5,立つ,①,自動1,たつ,站立；竖立；离开，动身
 1-N4+N5,立てる,②,他動2,たてる,制订；竖起；发出，冒起
 1-N4+N5,立派,⓪,ナ形,りっぱ,优秀的，出色的
 1-N4+N5,留学,⓪,名・自動3,りゅうがく,留学
 1-N4+N5,留学生,③④,名,りゅうがくせい,留学生
 1-N4+N5,旅行,⓪,名・自動3,りょこう,旅游
 1-N4+N5,両親,①,名,りょうしん,双亲，父母
 3-N2::2-中低频,寮,①,名,りょう,宿舍
 1-N4+N5,料理,①,名・他動3,りょうり,菜肴；做菜
 1-N4+N5,涼しい,③,イ形,すずしい,（天气）凉爽的，凉快的
 1-N4+N5,良い,①,イ形,よい,优秀的；好的；亲近的；没关系；确实的
 1-N4+N5,緑,①,名,みどり,绿色
 1-N4+N5,隣,⓪,名,となり,旁边；邻居
 1-N4+N5,涙,①,名,なみだ,眼泪
 1-N4+N5,冷たい,⓪③,イ形,つめたい,冰凉的；冷淡的
 1-N4+N5,冷蔵庫,③,名,れいぞうこ,冰箱
 2-N3::2-中低频,零,①,名,れい,零
 1-N4+N5,練習,⓪,名・他動3,れんしゅう,（学问、运动或技术等）反复练习，训练
 4-N1::2-中频,露,①,名,つゆ,露水；短暂，无常
 1-N4+N5,廊下,⓪,名,ろうか,走廊
 1-N4+N5,六つ,③⓪,名,むっつ,六个；六岁
 1-N4+N5,六日,⓪,名,むいか,六天；六号
 1-N4+N5,話,③,名,はなし,话；话题，事情；故事
 1-N4+N5,話す,②,他動1,はなす,说，讲，谈
 2-N3::2-中低频,〜おき,,接尾,〜おき,（时间、距离、数量等）每隔……
 1-N4+N5,〜家,,接尾,〜か,（以……为职业的人；经常做……的人）……家
 1-N4+N5,会,①,名・接尾,かい,（表示组织或活动）……会
 1-N4+N5,学,⓪①,名・造,がく,……学科
 2-N3::2-中低频,学年,⓪,名,がくねん,学年；……年级
 2-N3::2-中低频,区,,名・接尾,く,（表示行政区域）……区
 2-N3::2-中低频,〜建て,,接尾,〜だて,……层楼
 2-N3::2-中低频,県,,名,けん,（表示行政区域的）……县
 2-N3::2-中低频,〜軒,,接尾,〜けん,（表示房屋）……所，……栋
 1-N4+N5,後,,造,ご,……之后
 3-N2::2-中低频,時間目,,造,じかんめ,第……节课
 1-N4+N5,〜出す,,動1,〜だす,……出来；开始……
 2-N3::2-中低频,〜製,,接尾,〜せい,（表示产地）……制造
 2-N3::1-高频,〜代,①,接尾,〜だい,……费；……时代；表示年龄范围
 1-N4+N5,町,①,名・造,ちょう,……町
 2-N3::2-中低频,島,,造,とう,……岛
 2-N3::2-中低频,〜頭,,接尾,〜とう,（牛、马等）……头，匹；（昆虫）……只
 1-N4+N5,年生,,造,ねんせい,……年级生
 2-N3::2-中低频,番線,,名,ばんせん,……号线
 1-N4+N5,～方,,接尾,〜かた,……方法
 1-N4+N5,〜目,,接尾,〜め,（顺序的数法）第……个
 1-N4+N5,ああ,⓪,副,ああ,那样，那么
 1-N4+N5,あげる,⓪,他動2・補動,あげる,给予，赠送
 2-N3::2-中低频,アジア,①,名,Asia,亚洲
 2-N3::2-中低频,あちこち,②③,代,あちこち,这边那边，到处
 2-N3::2-中低频,あちらこちら,④,ナ形・代・名,あちらこちら,这边那边，到处
 2-N3::2-中低频,あっちこっち,③④,ナ形・代・名,あっちこっち,这边那边，到处
 2-N3::2-中低频,アドレス,⓪①,名,address,地址，住址
 1-N4+N5,アナウンサー,③,名,announcer,播音员
 2-N3::1-高频,アニメ,①⓪,名,animation,动画片，动漫
 3-N2::2-中低频,アフリカ,⓪,名,Africa,非洲
 3-N2::2-中低频,あら,①,感,あら,（表示惊讶，女性用语）哎呀
 1-N4+N5,ある〜,,連体,ある〜,某，某个
 1-N4+N5,アルバイト,③,名・自動3,(ド) Arbeit,兼职，打工
 1-N4+N5,あれ,⓪,感,あれ,（表示惊讶、奇怪）哎呀，哎哟
 1-N4+N5,あんな,⓪,連体・ナ形,あんな,那样；那种
 1-N4+N5,いかが,②,ナ形・副,いかが,怎样，如何
 2-N3::1-高频,いくつか,①,名・副,いくつか,若干，几个
 1-N4+N5,頂く,⓪,他動1・補動,いただく,吃，喝；得到
 2-N3::2-中低频,イタリア,⓪,名,(ポ) Italia,意大利
 1-N4+N5,いつでも,①③,副,いつでも,无论什么时候，总是
 3-N2::2-中低频,いつまでも,①⓪,副,いつまでも,永远，始终
 1-N4+N5,いらっしゃる,④,自動1・補動,いらっしゃる,来；去；在
 2-N3::2-中低频,インド,①,名,India,印度
 1-N4+N5,嘘[うそ],①,名,うそ,谎言，假话
 1-N4+N5,うまい,②,イ形,うまい,美味的；好的；进展顺利的
 1-N4+N5,ええと,⓪,感,ええと,（犹豫或思考时）啊，嗯
 1-N4+N5,えっ,①,感,えっ,（惊讶或觉得奇怪时）哎，啊
 2-N3::2-中低频,エネルギー,②③,名,(ド) Energie,能源，能量；精力
 2-N3::2-中低频,えび,⓪,名,えび,虾
 2-N3::2-中低频,エンジン,①,名,engine,发动机，引擎
 2-N3::2-中低频,おいでになる,⑤,自動1・補動,おいでになる,来；去；在
 1-N4+N5,オートバイ,③,名,(和) auto＋bicycle,摩托车
 2-N3::1-高频,おかげ,⓪,名,おかげ,恩惠，托……的福；由于……的缘故
 1-N4+N5,おかしい,③,イ形,おかしい,可笑的；奇怪的，可疑的
 2-N3::2-中低频,おかず,⓪,名,おかず,（米饭等主食的）配菜，菜肴
 1-N4+N5,オフィス,①,名,office,办公室，事务所
 3-N2::2-中低频,お前,⓪,代,おまえ,（男性对同辈或晚辈的称呼）你
 3-N2::2-中低频,オリンピック,④,名,Olympic,奥运会
 1-N4+N5,おる,①,自動1・補動,おる,在
 2-N3::2-中低频,オレンジ,②,名,orange,橙子，柑橘
 2-N3::2-中低频,お宅,⓪,名,おたく,您的家，贵府，贵公司；（オタク）专注于爱好和其他兴趣，不喜欢社交的人，御宅族
 2-N3::2-中低频,お釣り,⓪,名,おつり,零钱
 2-N3::2-中低频,お目にかかる,,成句,おめにかかる,见，见面，会见，拜会
 2-N3::2-中低频,カーテン,①,名,curtain,窗帘
 1-N4+N5,カード,①,名,card,卡，卡片
 3-N2::2-中低频,かしこまる,④,自動1,かしこまる,恭敬，拘谨；知道了
 2-N3::2-中低频,ガス,①,名,(オ) gas,气体；煤气
 2-N3::1-高频,ガソリン,⓪,名,gasoline,汽油
 2-N3::2-中低频,ガソリンスタンド,⑥,名,(和) gasoline＋stand,加油站
 2-N3::1-高频,かなり,①,ナ形・副,かなり,（出乎意料）很，相当
 3-N2::2-中低频,嚙[か]む,①,他動1,かむ,嚼，咬
 1-N4+N5,ガム,①,名,gum,口香糖
 2-N3::2-中低频,ガラス,⓪,名,(オ) glas,玻璃
 3-N2::2-中低频,カレーライス,④,名,curry rice,咖喱饭
 2-N3::2-中低频,かわいそう,④,ナ形,かわいそう,可怜的
 2-N3::2-中低频,キッチン,①,名,kitchen,厨房
 1-N4+N5,きっと,⓪,副,きっと,一定，必定
 2-N3::2-中低频,きゅうり,①,名,きゅうり,黄瓜
 1-N4+N5,クッキー,①,名,cookie,曲奇饼干
 2-N3::2-中低频,グラス,⓪①,名,glass,玻璃杯
 2-N3::2-中低频,クラスメート,④,名,classmate,同班同学
 1-N4+N5,クラブ,①⓪,名,club,俱乐部；酒吧
 4-N1::3-低频,グレー,②,名,gray,灰色
 1-N4+N5,くれる,⓪,他動2・補動,くれる,给（我）
 4-N1::2-中频,ゲート,①,名,gate,大门
 1-N4+N5,ゲーム,①,名,game,游戏；比赛
 1-N4+N5,けが,②,名・自動3,けが,伤，受伤
 1-N4+N5,けれど,①,接・接助・終助,けれど,不过，可是
 1-N4+N5,こう,⓪①,副,こう,这样，这么
 3-N2::2-中低频,ごくごく,①,副,ごくごく,咕嘟咕嘟地大口喝水时发出的声音
 2-N3::2-中低频,こしょう,②,名,こしょう,胡椒
 3-N2::2-中低频,こそこそ,①,副・自動3,こそこそ,（因害怕被责备而）偷偷摸摸地
 2-N3::2-中低频,ごちそう,⓪,名・他動3,ごちそう,款待，宴请；丰盛的酒菜
 2-N3::1-高频,この間,⓪,名・副,このあいだ,上次，不久以前
 1-N4+N5,ごみ,②,名,ごみ,垃圾
 1-N4+N5,これから,④⓪,名・副,これから,从现在起，之后
 2-N3::2-中低频,これら,②,代,これら,这些
 1-N4+N5,コンサート,①,名,concert,音乐会，演奏会
 1-N4+N5,コンピューター,③,名,computer,电脑，计算机
 2-N3::2-中低频,ご存じ,②,名,ごぞんじ,您知道，您认识
 2-N3::2-中低频,ご覧になる,,成句,ごらんになる,看
 2-N3::1-高频,サイズ,①,名,size,大小，尺寸
 2-N3::1-高频,さっき,①,副・名,さっき,刚才，方才
 2-N3::1-高频,さまざま,②③,ナ形,さまざま,各种各样，形形色色
 1-N4+N5,サラダ,①,名,salad,沙拉
 2-N3::2-中低频,サンダル,⓪,名,sandal,凉鞋
 4-N1::2-中频,サンドイッチ,④,名,sandwich,三明治；（比喻）被夹在中间
 2-N3::2-中低频,仕方ない,④,イ形・補形,しかたない,没有办法的，不得已的
 1-N4+N5,しっかり,③,副・自動3,しっかり,紧紧地；好好地，牢牢地；坚固，坚强；可靠
 2-N3::1-高频,しばらく,②,副,しばらく,（虽然时间不长，但也不是马上就能完成的样子）暂时，暂且；（经过了一段相当长的时间）许久，好久
 1-N4+N5,しまう,⓪,他動1・補動,しまう,收拾；做完；停业；非本意的事情发生
 1-N4+N5,ジャム,①,名,jam,果酱
 3-N2::2-中低频,じりじり,①,副・自動3,じりじり,逐步逼近；焦躁不安；烈日炎炎
 1-N4+N5,スーツ,①,名,suit,西装，西服
 1-N4+N5,スーツケース,④,名,suitcase,旅行箱，行李箱
 1-N4+N5,スーパーマーケット,⑤,名,supermarket,超市
 3-N2::2-中低频,スクリーン,③,名,screen,（电影等的）屏幕
 1-N4+N5,すごい,②,イ形,すごい,可怕的；了不起的；非常的
 1-N4+N5,すっかり,③,副,すっかり,完全，全部
 1-N4+N5,ずっと,⓪,副,ずっと,……得很；一直
 2-N3::2-中低频,ステーキ,②,名,steak,牛排
 2-N3::1-高频,ストレス,②,名,stress,压力，紧张情绪
 2-N3::2-中低频,すると,⓪,接,すると,于是；那么，那样的话
 2-N3::2-中低频,咳[せき],②,名,せき,咳嗽
 2-N3::2-中低频,センター,①,名,center,中心，中央
 2-N3::2-中低频,そこで,⓪,接,そこで,因此，所以；（转移话题）那么
 2-N3::1-高频,そのため,⓪,接,そのため,因此，所以
 2-N3::2-中低频,そのほか,②,連語,そのほか,除此之外，另外
 1-N4+N5,そのまま,④⓪,副・名,そのまま,就那样；原封不动
 3-N2::1-高频,ソフト,①,ナ形・名,soft,柔软；软件
 1-N4+N5,それぞれ,②③,名・副,それぞれ,各个，各自，分别
 1-N4+N5,それで,⓪,接,それで,因此，所以；（表示催促）那么，后来
 1-N4+N5,それとも,③,接,それとも,或者，还是
 1-N4+N5,それなら,③,接,それなら,如果那样的话
 1-N4+N5,それに,⓪,接,それに,而且，还有
 2-N3::1-高频,それほど,⓪,副,それほど,那样地；（并非）那么地……
 1-N4+N5,そろそろ,①,副,そろそろ,快要，就要（做某事）
 1-N4+N5,そんな,⓪,ナ形・連体・感,そんな,那样；（不）那样
 2-N3::2-中低频,ダイエット,①,名・自動3,diet,减肥，减重
 2-N3::2-中低频,たいてい,⓪,名・副・ナ形,たいてい,一般；大概，大致；（不）一般
 2-N3::1-高频,タイプ,①,他動3・名,type,类型；打字
 1-N4+N5,だけど,①,接・接助,だけど,可是，然而
 1-N4+N5,チェック,①,他動3・名,check,核对，检查
 2-N3::2-中低频,チェックイン,④③,名・自動3,checkin,入住登记；（飞机）登机手续
 2-N3::2-中低频,ちっとも,③,副,ちっとも,一点也（不）
 2-N3::2-中低频,つまり,①,副,つまり,总之，归根结底；也就是说
 1-N4+N5,つもり,⓪,名,つもり,意图，打算
 2-N3::2-中低频,できるだけ,⓪,副,できるだけ,尽量，尽可能
 2-N3::2-中低频,できれば,②,連語,できれば,如果可以的话
 1-N4+N5,ですから,①,接,ですから,因此
 1-N4+N5,テニス,①,名,tennis,网球
 3-N2::2-中低频,テニスコート,④,名,tennis court,网球场
 4-N1::2-中频,テント,①,名,tent,帐篷
 2-N3::2-中低频,ドイツ,①,名,(ド) Deutschland,德国
 2-N3::2-中低频,とうとう,①,副,とうとう,终于，终究
 1-N4+N5,どこか,①,連語,どこか,（表示不确定）哪里；总觉得，有些
 2-N3::2-中低频,ところで,③,接,ところで,（转换话题时）对了
 2-N3::2-中低频,どのよう,①③,連語,どのよう,怎样的
 1-N4+N5,トマト,①,名,tomato,西红柿，番茄
 1-N4+N5,どんどん,①,副,どんどん,咚咚声；不断地，顺利地
 3-N2::2-中低频,トンネル,⓪,名,tunnel,隧道
 1-N4+N5,なかなか,⓪,副,なかなか,很，相当；（不）容易，（不）简单
 1-N4+N5,なさる,②,他動1・補動,なさる,做
 2-N3::1-高频,なるべく,⓪,副,なるべく,尽量，尽可能
 2-N3::2-中低频,なるほど,⓪,副・感,なるほど,（正如所听说的）的确；（对对方说的话表示同意）原来如此
 1-N4+N5,何で,①,副,なんで,为什么，为何
 1-N4+N5,濡[ぬ]れる,⓪,自動2,ぬれる,淋湿，弄湿
 4-N1::3-低频,延び延び,⓪,ナ形・名,のびのび,拖拖拉拉
 2-N3::2-中低频,海苔[のり],②,名,のり,海苔；紫菜
 2-N3::2-中低频,はさみ,③②,名,はさみ,剪刀
 1-N4+N5,バスケットボール,⑥,名,basketball,篮球
 2-N3::2-中低频,パスポート,③,名,passport,护照
 1-N4+N5,パソコン,⓪,名,personal computer,（个人）电脑
 2-N3::2-中低频,バター,①,名,butter,黄油
 1-N4+N5,はっきり,③,副・自動3,はっきり,清楚；爽快；明确
 2-N3::2-中低频,バッグ,①,名,bag,包
 3-N2::2-中低频,ぱらぱら,①⓪,副,ぱらぱら,（雨滴、眼泪等较轻的颗粒状物体）连续掉落状①；快速翻页时发出的声音①；稀稀落落⓪
 3-N2::2-中低频,バレーボール,④,名,volleyball,排球
 2-N3::2-中低频,パンダ,①,名,panda,熊猫
 3-N2::2-中低频,ハンバーガー,③,名,hamburger,汉堡
 1-N4+N5,ハンバーグ,③,名,hamburg steak,汉堡牛肉饼，汉堡排
 1-N4+N5,ピアノ,⓪,名,piano,钢琴
 1-N4+N5,びっくり,③,副・自動3,びっくり,吃惊，吓一跳
 1-N4+N5,ビデオ,①,名,video,录像，视频；录像机
 1-N4+N5,ひどい,②,イ形,ひどい,残酷的，过分的；激烈的
 3-N2::2-中低频,びりびり,①⓪,副,びりびり,撕纸或布的声音⓪；窗玻璃等细微震动的样子①；（皮肤触电般地）刺痛、麻痛①
 1-N4+N5,ビル,①,名,building,高楼，大厦
 2-N3::2-中低频,ピンク,①,名,pink,粉红色，桃红色
 3-N2::2-中低频,フルーツ,②,名,fruit,水果
 1-N4+N5,プレゼント,②,他動3・名,present,礼物，赠品
 1-N4+N5,へえ,⓪,感,へえ,（惊讶）哦，嘿
 3-N2::2-中低频,ほうれん草,③,名,ほうれんそう,菠菜
 4-N1::3-低频,ボーイフレンド,⑤,名,boyfriend,男朋友；男性朋友
 1-N4+N5,ボール,⓪①,名,ball,球
 1-N4+N5,ほとんど,②,名・副,ほとんど,大部分；几乎
 2-N3::2-中低频,ほら,①,感,ほら,（用于提醒）喏，瞧
 1-N4+N5,まだまだ,①,副,まだまだ,还，仍
 1-N4+N5,まま,②,名,まま,……的样子不变
 1-N4+N5,皆,②⓪,名・代・副,みな,大家；全部
 1-N4+N5,メニュー,①,名,menu,菜单，选单
 1-N4+N5,メロン,①,名,melon,哈密瓜，甜瓜
 1-N4+N5,もうすぐ,③,副,もうすぐ,马上就要
 1-N4+N5,もう少し,④,副,もうすこし,再稍微；差一点，几乎
 1-N4+N5,もし,①,副,もし,如果，假如
 3-N2::2-中低频,もたもた,①,副・自動3,もたもた,磨蹭，拖拖拉拉
 1-N4+N5,もちろん,②,副,もちろん,当然
 1-N4+N5,もらう,⓪,他動1・補動,もらう,得到，获得
 2-N3::2-中低频,やってくる,④,自動3,やってくる,朝这边过来，接近
 1-N4+N5,やっと,⓪③,副,やっと,终于
 1-N4+N5,やはり,②,副,やはり,果然；到底还是
 3-N2::1-高频,やりがい,⓪,名,やりがい,做的价值，做的意义
 1-N4+N5,やり方,⓪,名,やりかた,做法，方法
 1-N4+N5,やる,⓪,他動1・補動,やる,做；（上级给下级，人给动物等）给
 1-N4+N5,よく,①,副,よく,好好地；经常
 1-N4+N5,よろしい,③,イ形・補形,よろしい,可以，好
 4-N1::3-低频,リットル,⓪,名,(フ) litre,升
 1-N4+N5,レジ,①,名,register,收银机；收银台；收银员
 2-N3::2-中低频,レポート,②⓪,他動3・名,report,（研究或调查内容汇总）报告；报告书
 2-N3::2-中低频,レモン,①,名,lemon,柠檬
 2-N3::2-中低频,わあ,①,感,わあ,（表示惊讶或吓人）哇
 2-N3::2-中低频,ワイン,①,名,wine,葡萄酒，红酒
 3-N2::1-高频,わがまま,③④,名・ナ形,わがまま,任性，放肆
 3-N2::1-高频,わくわく,①,副・自動3,わくわく,（因期待或喜悦等）兴奋
 3-N2::2-中低频,椀[わん],⓪,名,わん,碗，木碗
 1-N4+N5,愛,①,名,あい,爱，爱情，热爱
 1-N4+N5,挨拶,①,名・自動3,あいさつ,问候，寒暄；致辞
 1-N4+N5,安心,⓪,名・ナ形・自動3,あんしん,放心，安心
 1-N4+N5,安全,⓪,名・ナ形,あんぜん,安全
 1-N4+N5,案内,③,名・他動3,あんない,引导，向导；传达；通知，指南
 1-N4+N5,以下,①,名,いか,下述，接下来的；以下
 2-N3::2-中低频,偉い,②,イ形,えらい,伟大的，卓越的；高贵的；严重的；吃力的
 1-N4+N5,意見,①,名・自他動3,いけん,（提）意见；劝告
 2-N3::2-中低频,移す,②,他動1,うつす,移动；转移
 2-N3::1-高频,移る,②,自動1,うつる,移动；转移
 3-N2::1-高频,移転,⓪,名・自他動3,いてん,迁移，搬家
 1-N4+N5,違い,⓪,名,ちがい,差异，不同
 4-N1::2-中频,遺産,⓪,名,いさん,遗产
 2-N3::2-中低频,医学,①,名,いがく,医学
 1-N4+N5,育てる,③,他動2,そだてる,养育，培育，饲养
 2-N3::2-中低频,一昨日,④,名,いっさくじつ,前天
 4-N1::3-低频,一昨年,⓪④,名,いっさくねん,前年
 2-N3::1-高频,一生懸命,⑤,ナ形・副,いっしょうけんめい,拼命，努力
 1-N4+N5,一度,③⓪,名・副,いちど,一次，一回
 1-N4+N5,引き出し,⓪,名,ひきだし,抽屉；提取
 1-N4+N5,引っ越し,⓪,名・自動3,ひっこし,搬家
 2-N3::1-高频,引っ越す,③,自動1,ひっこす,搬家，搬迁
 1-N4+N5,運転,⓪,名・自他動3,うんてん,驾驶；操作
 1-N4+N5,運転手,③,名,うんてんしゅ,司机
 1-N4+N5,雲,①,名,くも,云，云彩
 1-N4+N5,営業,⓪,名・自他動3,えいぎょう,营业，经商
 2-N3::1-高频,影響,⓪,名・自動3,えいきょう,影响
 2-N3::2-中低频,液,①,名,えき,液体
 1-N4+N5,駅員,②⓪,名,えきいん,车站工作人员
 1-N4+N5,遠く,③⓪,名・副,とおく,远处，远方
 2-N3::2-中低频,遠足,⓪,名・自動3,えんそく,郊游
 1-N4+N5,遠慮,⓪①,名・自他動3,えんりょ,客气；谢绝
 2-N3::1-高频,汚れ,⓪,名,よごれ,污垢，脏污
 1-N4+N5,汚れる,⓪,自動2,よごれる,脏
 3-N2::2-中低频,奥様,①,名,おくさま,（对他人妻子的尊称）您夫人，您太太
 4-N1::3-低频,応え,②,名,こたえ,回应，反应
 2-N3::2-中低频,押し入れ,⓪,名,おしいれ,（日式）壁橱
 2-N3::2-中低频,横断,⓪,名・自他動3,おうだん,横断；横渡
 2-N3::2-中低频,殴る,②,他動1,なぐる,殴打
 2-N3::2-中低频,屋上,⓪,名,おくじょう,房顶，屋顶
 2-N3::1-高频,温める,④,他動2,あたためる,温，热，烫；酝酿
 2-N3::1-高频,温度,①,名,おんど,温度
 2-N3::2-中低频,音楽家,⓪,名,おんがくか,音乐家
 1-N4+N5,下がる,②,自動1,さがる,下降；后退；退步
 2-N3::2-中低频,下げる,②,他動2,さげる,降下；撤下；使后退
 3-N2::2-中低频,下りる,②,自動2,おりる,下来；（许可等）批下来
 4-N1::3-低频,下宿,⓪,名・自動3,げしゅく,寄宿，租房间住，供膳宿的公寓
 4-N1::1-高频,下着,⓪,名,したぎ,内衣
 4-N1::1-高频,化学,①,名,かがく,化学
 2-N3::1-高频,価格,⓪①,名,かかく,价格
 3-N2::1-高频,家事,①,名,かじ,家务
 3-N2::2-中低频,家内,①,名,かない,（自己的）妻子
 2-N3::1-高频,科学,①,名,かがく,科学
 4-N1::3-低频,歌舞伎,⓪,名,かぶき,歌舞伎
 1-N4+N5,火,①,名,ひ,火
 2-N3::2-中低频,火事,①,名,かじ,火灾
 1-N4+N5,花見,③,名,はなみ,赏花，特指赏樱花
 2-N3::1-高频,花束,②③,名,はなたば,花束
 1-N4+N5,過ぎる,②,自動2,すぎる,经过；超过；过分
 1-N4+N5,会場,⓪,名,かいじょう,会场
 1-N4+N5,回る,⓪,自動1,まわる,旋转
 2-N3::1-高频,壊す,②,他動1,こわす,弄坏；伤害；破坏
 1-N4+N5,壊れる,③,自動2,こわれる,坏，破碎；出故障
 1-N4+N5,開く,②,自他動1,ひらく,开；开张
 2-N3::1-高频,開始,⓪,名・自他動3,かいし,开始
 4-N1::1-高频,各種,①,名,かくしゅ,各种，各样
 1-N4+N5,格好,⓪,名,かっこう,（人或物的）外观，外表
 3-N2::2-中低频,革命,⓪,名,かくめい,革命
 2-N3::2-中低频,学ぶ,⓪,他動1,まなぶ,学习
 2-N3::1-高频,学習,⓪,名・他動3,がくしゅう,学习
 2-N3::1-高频,学部,⓪①,名,がくぶ,（大学）系，学院
 1-N4+N5,楽しみ,③④⓪,名・ナ形,たのしみ,乐趣；期待
 1-N4+N5,楽しむ,③,他動1,たのしむ,享受；盼望
 3-N2::2-中低频,割に,⓪,副,わりに,出乎意料，格外，比较
 2-N3::2-中低频,割る,⓪,他動1,わる,分，割；打坏，弄碎；兑水；除法
 4-N1::2-中频,渇く,②,自動1,かわく,渴；渴望
 2-N3::1-高频,乾く,②,自動1,かわく,变干，干燥
 2-N3::1-高频,患者,⓪,名,かんじゃ,患者，病人
 1-N4+N5,感じ,⓪,名,かんじ,感觉；印象
 1-N4+N5,感じる,⓪,自他動2,かんじる,感到；觉得
 1-N4+N5,慣れる,②,自動2・補動,なれる,习惯，适应；熟悉，熟练；（馴れる）动物亲近人类
 2-N3::1-高频,環境,⓪,名,かんきょう,环境
 2-N3::2-中低频,看護師,③,名,かんごし,护士
 2-N3::2-中低频,看板,⓪,名,かんばん,招牌
 1-N4+N5,簡単,⓪,ナ形,かんたん,简单，简便
 1-N4+N5,缶,①,名,かん,（金属制的）罐，桶；罐头
 2-N3::1-高频,観光,⓪,名・他動3,かんこう,观光，旅游
 1-N4+N5,間,⓪,名,あいだ,（两个事物的）中间；时间段；人与人的关系
 1-N4+N5,間に合う,③,自動1,まにあう,赶上，来得及
 1-N4+N5,間違い,③,名,まちがい,错误，过错
 1-N4+N5,間違う,③,自他動1,まちがう,错；弄错
 1-N4+N5,間違える,④③,他動2,まちがえる,弄错，搞错
 1-N4+N5,関係,⓪,名・自動3,かんけい,与……有关系；关系
 4-N1::2-中频,岸,②,名,きし,岸，岸边
 1-N4+N5,おもちゃ,②,名,おもちゃ,玩具；玩物
 1-N4+N5,頑張る,③,自動1,がんばる,拼命努力，加油
 1-N4+N5,危険,⓪,名・ナ形,きけん,危险
 3-N2::1-高频,喜び,⓪④③,名,よろこび,喜悦；恭喜
 1-N4+N5,喜ぶ,③,他動1,よろこぶ,欢喜，高兴；（「喜んで」の形で）欣然接受
 1-N4+N5,うれしい,③,イ形,うれしい,高兴的
 1-N4+N5,希望,⓪,名・他動3,きぼう,希望，期望
 2-N3::1-高频,機会,①②,名,きかい,机会
 1-N4+N5,機械,①②,名,きかい,机械，机器
 1-N4+N5,気,⓪,名,き,气，空气；心情；性质
 2-N3::2-中低频,気が付く,,成句,きがつく,注意到，发觉
 3-N2::2-中低频,気を付ける,,成句,きをつける,小心，注意，警惕
 3-N2::1-高频,気候,⓪,名,きこう,气候
 1-N4+N5,気持ち,⓪,名,きもち,心情，情绪；感觉；舒适（与否）
 3-N2::2-中低频,気体,⓪,名,きたい,气体
 1-N4+N5,気分,①,名,きぶん,（短暂的）心情，情绪；气氛
 4-N1::3-低频,汽車,①②,名,きしゃ,蒸汽火车
 3-N2::2-中低频,祈る,②,他動1,いのる,祈祷；祝愿
 2-N3::1-高频,規則,②①,名,きそく,规则
